100000, 0, 176.19609832763672
20000, 0, 36.14306449890137
40000, 0, 88.97089958190918
60000, 0, 142.78101921081543
80000, 0, 125.33116340637207
100000, 2163095, 1929.973840713501
20000, 2525941, 351.79901123046875
40000, 3311449, 751.2271404266357
60000, 4542804, 1251.682996749878
80000, 6234487, 2755.9080123901367
100000, 8259327, 1873.816967010498
20000, 8596556, 310.5359077453613
40000, 9329782, 697.6041793823242
60000, 10478729, 1043.5819625854492
80000, 12060592, 1487.5540733337402
100000, 14361967, 2047.4510192871094
20000, 14751430, 389.3427848815918
40000, 15590017, 748.8059997558594
60000, 16904056, 1154.233694076538
80000, 18704227, 1580.4920196533203
